#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#BASE PROVINCIAL POP MODIFIERS
arles_holding_pop5;Metropolitan Center;;;;;;;;;;;;;x
arles_holding_pop5_desc;This city of cities is home to almost a hundred thousand of people, serving as a shining capital and an unrivalled center of commerce, industry, and culture.;;;;;;;;;;;;;x

#TOWN BUILDING TOOLTIPS
ca_town_1_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/150 towards the next population level;;;;;;;;;;;;;x
ca_town_2_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/300 towards the next population level;;;;;;;;;;;;;x
ca_town_3_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/500 towards the next population level;;;;;;;;;;;;;x
ca_town_4_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/1000 towards the next population level;;;;;;;;;;;;;x
ca_town_5_tooltip;This city of cities is home to almost a hundred thousand of people, serving as a shining capital and an unrivalled center of commerce, industry, and culture.;;;;;;;;;;;;;x

tp_town_1_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/150 towards the next population level;;;;;;;;;;;;;x
tp_town_2_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/300 towards the next population level;;;;;;;;;;;;;x
tp_town_3_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/500 towards the next population level;;;;;;;;;;;;;x
tp_town_4_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/1000 towards the next population level;;;;;;;;;;;;;x
tp_town_5_tooltip;This city of cities is home to almost a hundred thousand of people, serving as a shining capital and an unrivalled center of commerce, industry, and culture.;;;;;;;;;;;;;x

ct_marketplace_1_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/150 towards the next population level;;;;;;;;;;;;;x
ct_marketplace_2_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/300 towards the next population level;;;;;;;;;;;;;x
ct_marketplace_3_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/500 towards the next population level;;;;;;;;;;;;;x
ct_marketplace_4_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/1000 towards the next population level;;;;;;;;;;;;;x
ct_marketplace_5_tooltip;This city of cities is home to almost a hundred thousand of people, serving as a shining capital and an unrivalled center of commerce, industry, and culture.;;;;;;;;;;;;;x

tb_market_town_1_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/150 towards the next population level;;;;;;;;;;;;;x
tb_market_town_2_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/300 towards the next population level;;;;;;;;;;;;;x
tb_market_town_3_tooltip;Population can no longer be bought. Improve the economy and infrastructure, and population will grow on its own.\n[FROMFROM.holding_pop.GetValue]/500 towards the next population level;;;;;;;;;;;;;x
tb_market_town_4_tooltip;This impressive settlement is a local center of commerce and authority, but the limits of tribal government restrict it from being able to grow further.;;;;;;;;;;;;;x
